"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","isoforest_score"
"Cell142","SeuratProject",41,38,0,-0.0812969822485509
"Cell143","SeuratProject",40,40,0,-0.114802720065092
"Cell144","SeuratProject",36,33,0,-0.042519340089826
"Cell145","SeuratProject",43,42,0,-0.125543566849907
"Cell146","SeuratProject",46,43,0,-0.0807568128903705
"Cell147","SeuratProject",31,31,0,-0.0437860536635473
"Cell148","SeuratProject",46,45,0,-0.104447736368418
"Cell150","SeuratProject",44,41,0,-0.0864675835086444
"Cell151","SeuratProject",39,38,0,-0.125911316796102
"Cell152","SeuratProject",35,34,0,-0.0935100874590804
"Cell153","SeuratProject",31,31,0,-0.0437860536635473
"Cell154","SeuratProject",36,35,0,-0.100708576765086
"Cell155","SeuratProject",35,35,0,-0.0750453438428789
"Cell156","SeuratProject",38,37,0,-0.126165582837422
"Cell157","SeuratProject",42,38,0,-0.0629795758027977
"Cell158","SeuratProject",47,44,0,-0.0652923191498441
"Cell159","SeuratProject",48,45,0,-0.0676257493823741
"Cell160","SeuratProject",47,46,0,-0.0721330105042981
"Cell161","SeuratProject",37,36,0,-0.108529277334392
"Cell162","SeuratProject",36,36,0,-0.0862155507256251
"Cell163","SeuratProject",43,41,0,-0.120547462383493
"Cell164","SeuratProject",41,40,0,-0.140315856156687
"Cell165","SeuratProject",44,43,0,-0.113107739462977
"Cell167","SeuratProject",46,43,0,-0.0807568128903705
"Cell168","SeuratProject",38,38,0,-0.120792137682289
"Cell169","SeuratProject",48,47,0,-0.0546278183463105
"Cell170","SeuratProject",48,45,0,-0.0676257493823741
"Cell171","SeuratProject",49,48,0,-0.0473076105761039
"Cell172","SeuratProject",43,41,0,-0.120547462383493
"Cell173","SeuratProject",32,31,0,-0.0437250879906633
"Cell174","SeuratProject",44,44,0,-0.0717491333856407
"Cell176","SeuratProject",44,42,0,-0.1108684007134
"Cell177","SeuratProject",39,39,0,-0.106535913508881
"Cell178","SeuratProject",41,39,0,-0.11922676566074
"Cell179","SeuratProject",36,36,0,-0.0862155507256251
"Cell181","SeuratProject",37,37,0,-0.0922958951325496
"Cell182","SeuratProject",31,31,0,-0.0437860536635473
"Cell183","SeuratProject",42,40,0,-0.116251208275036
"Cell184","SeuratProject",38,38,0,-0.120792137682289
"Cell185","SeuratProject",49,47,0,-0.0630020960796193
"Cell186","SeuratProject",40,38,0,-0.10362894103794
"Cell187","SeuratProject",38,38,0,-0.120792137682289
"Cell188","SeuratProject",43,43,0,-0.0981113095577119
"Cell189","SeuratProject",47,46,0,-0.0721330105042981
"Cell190","SeuratProject",44,43,0,-0.113107739462977
"Cell191","SeuratProject",36,36,0,-0.0862155507256251
"Cell192","SeuratProject",38,36,0,-0.0974043618173572
"Cell193","SeuratProject",35,34,0,-0.0935100874590804
"Cell194","SeuratProject",48,48,0,-0.0267241480606816
"Cell195","SeuratProject",34,34,0,-0.0622168716309411
"Cell196","SeuratProject",45,43,0,-0.1094791302964
"Cell197","SeuratProject",38,37,0,-0.126165582837422
"Cell198","SeuratProject",51,49,0,-0.00111293731515005
"Cell199","SeuratProject",37,37,0,-0.0922958951325496
"Cell200","SeuratProject",37,37,0,-0.0922958951325496
"Cell201","SeuratProject",33,32,0,-0.0601384707826172
"Cell202","SeuratProject",36,34,0,-0.083049093154336
"Cell203","SeuratProject",37,36,0,-0.108529277334392
"Cell204","SeuratProject",41,39,0,-0.11922676566074
"Cell205","SeuratProject",41,40,0,-0.140315856156687
"Cell206","SeuratProject",38,37,0,-0.126165582837422
"Cell207","SeuratProject",39,39,0,-0.106535913508881
"Cell208","SeuratProject",36,35,0,-0.100708576765086
"Cell209","SeuratProject",42,42,0,-0.0993157718875632
"Cell210","SeuratProject",39,39,0,-0.106535913508881
"Cell211","SeuratProject",30,30,0,-0.0135648302487286
"Cell213","SeuratProject",40,40,0,-0.114802720065092
"Cell214","SeuratProject",40,40,0,-0.114802720065092
"Cell215","SeuratProject",39,38,0,-0.125911316796102
"Cell216","SeuratProject",41,36,0,-0.0227931102424265
"Cell217","SeuratProject",43,41,0,-0.120547462383493
"Cell218","SeuratProject",43,42,0,-0.125543566849907
"Cell219","SeuratProject",44,42,0,-0.1108684007134
"Cell220","SeuratProject",45,43,0,-0.1094791302964
"Cell221","SeuratProject",44,42,0,-0.1108684007134
"Cell222","SeuratProject",47,45,0,-0.0821044824376019
"Cell223","SeuratProject",41,39,0,-0.11922676566074
"Cell224","SeuratProject",49,46,0,-0.0359836772743072
"Cell225","SeuratProject",42,41,0,-0.132104934029768
"Cell226","SeuratProject",39,39,0,-0.106535913508881
"Cell227","SeuratProject",38,35,0,-0.062633540134845
"Cell228","SeuratProject",31,31,0,-0.0437860536635473
"Cell229","SeuratProject",47,46,0,-0.0721330105042981
"Cell230","SeuratProject",46,44,0,-0.0988379931844763
"Cell231","SeuratProject",36,35,0,-0.100708576765086
"Cell232","SeuratProject",37,37,0,-0.0922958951325496
"Cell233","SeuratProject",40,38,0,-0.10362894103794
"Cell234","SeuratProject",39,39,0,-0.106535913508881
"Cell235","SeuratProject",51,49,0,-0.00111293731515005
"Cell236","SeuratProject",39,36,0,-0.073145077870989
"Cell237","SeuratProject",31,29,0,-0.00139861083737891
"Cell239","SeuratProject",38,36,0,-0.0974043618173572
"Cell240","SeuratProject",42,40,0,-0.116251208275036
"Cell241","SeuratProject",44,44,0,-0.0717491333856407
"Cell242","SeuratProject",37,37,0,-0.0922958951325496
"Cell243","SeuratProject",50,49,0,-0.0185465981334861
"Cell244","SeuratProject",43,40,0,-0.0905215712775407
"Cell245","SeuratProject",48,45,0,-0.0676257493823741
"Cell246","SeuratProject",39,37,0,-0.108202743211851
"Cell247","SeuratProject",42,41,0,-0.132104934029768
"Cell248","SeuratProject",42,42,0,-0.0993157718875632
"Cell249","SeuratProject",49,48,0,-0.0473076105761039
"Cell250","SeuratProject",42,40,0,-0.116251208275036
"Cell251","SeuratProject",40,39,0,-0.119672188357454
"Cell252","SeuratProject",51,51,0,0.0318573726211886
"Cell253","SeuratProject",43,42,0,-0.125543566849907
"Cell254","SeuratProject",44,43,0,-0.113107739462977
"Cell255","SeuratProject",37,36,0,-0.108529277334392
"Cell256","SeuratProject",45,43,0,-0.1094791302964
"Cell257","SeuratProject",41,40,0,-0.140315856156687
"Cell258","SeuratProject",52,50,0,0.0226004622639941
"Cell259","SeuratProject",44,41,0,-0.0864675835086444
"Cell260","SeuratProject",36,36,0,-0.0862155507256251
"Cell261","SeuratProject",50,48,0,-0.0261396818470294
"Cell262","SeuratProject",45,45,0,-0.089304337797713
"Cell263","SeuratProject",31,31,0,-0.0437860536635473
"Cell264","SeuratProject",42,40,0,-0.116251208275036
"Cell265","SeuratProject",50,49,0,-0.0185465981334861
"Cell266","SeuratProject",34,30,0,0.000577035393884318
"Cell267","SeuratProject",45,43,0,-0.1094791302964
"Cell268","SeuratProject",34,33,0,-0.0674238122874688
"Cell269","SeuratProject",36,36,0,-0.0862155507256251
"Cell270","SeuratProject",33,33,0,-0.0529404493752068
"Cell271","SeuratProject",43,41,0,-0.120547462383493
"Cell272","SeuratProject",42,38,0,-0.0629795758027977
"Cell273","SeuratProject",44,43,0,-0.113107739462977
"Cell274","SeuratProject",31,29,0,-0.00139861083737891
"Cell276","SeuratProject",43,41,0,-0.120547462383493
"Cell277","SeuratProject",35,35,0,-0.0750453438428789
"Cell278","SeuratProject",44,43,0,-0.113107739462977
"Cell279","SeuratProject",47,46,0,-0.0721330105042981
"Cell280","SeuratProject",44,43,0,-0.113107739462977
"Cell281","SeuratProject",37,35,0,-0.0848603016289688
"Cell282","SeuratProject",29,29,0,0.0345500290821616
"Cell283","SeuratProject",47,46,0,-0.0721330105042981
"Cell284","SeuratProject",51,47,0,0.000885772218190861
"Cell285","SeuratProject",53,51,0,0.0369909880530175
"Cell286","SeuratProject",44,43,0,-0.113107739462977
"Cell287","SeuratProject",40,38,0,-0.10362894103794
"Cell288","SeuratProject",49,45,0,-0.027664356909304
"Cell289","SeuratProject",46,44,0,-0.0988379931844763
"Cell290","SeuratProject",36,35,0,-0.100708576765086
"Cell291","SeuratProject",32,31,0,-0.0437250879906633
"Cell292","SeuratProject",47,46,0,-0.0721330105042981
"Cell293","SeuratProject",37,36,0,-0.108529277334392
"Cell294","SeuratProject",44,41,0,-0.0864675835086444
"Cell295","SeuratProject",47,45,0,-0.0821044824376019
"Cell296","SeuratProject",42,41,0,-0.132104934029768
"Cell297","SeuratProject",44,41,0,-0.0864675835086444
"Cell298","SeuratProject",35,34,0,-0.0935100874590804
"Cell299","SeuratProject",35,35,0,-0.0750453438428789
"Cell300","SeuratProject",44,43,0,-0.113107739462977
"Cell301","SeuratProject",42,40,0,-0.116251208275036
"Cell302","SeuratProject",48,45,0,-0.0676257493823741
"Cell303","SeuratProject",39,39,0,-0.106535913508881
"Cell304","SeuratProject",48,46,0,-0.0694425359921111
"Cell305","SeuratProject",36,36,0,-0.0862155507256251
"Cell307","SeuratProject",39,37,0,-0.108202743211851
"Cell308","SeuratProject",31,31,0,-0.0437860536635473
"Cell309","SeuratProject",42,42,0,-0.0993157718875632
"Cell310","SeuratProject",35,33,0,-0.0550630612165877
"Cell312","SeuratProject",41,40,0,-0.140315856156687
"Cell313","SeuratProject",41,39,0,-0.11922676566074
"Cell314","SeuratProject",34,34,0,-0.0622168716309411
"Cell315","SeuratProject",31,29,0,-0.00139861083737891
"Cell317","SeuratProject",38,37,0,-0.126165582837422
"Cell318","SeuratProject",36,35,0,-0.100708576765086
"Cell319","SeuratProject",50,47,0,-0.0219135541627762
"Cell320","SeuratProject",37,37,0,-0.0922958951325496
"Cell321","SeuratProject",41,40,0,-0.140315856156687
"Cell322","SeuratProject",53,51,0,0.0369909880530175
"Cell323","SeuratProject",45,44,0,-0.106674781707554
"Cell324","SeuratProject",47,45,0,-0.0821044824376019
"Cell325","SeuratProject",48,45,0,-0.0676257493823741
"Cell326","SeuratProject",38,36,0,-0.0974043618173572
"Cell327","SeuratProject",49,46,0,-0.0359836772743072
"Cell329","SeuratProject",38,38,0,-0.120792137682289
"Cell330","SeuratProject",36,35,0,-0.100708576765086
"Cell331","SeuratProject",41,40,0,-0.140315856156687
"Cell333","SeuratProject",35,34,0,-0.0935100874590804
"Cell334","SeuratProject",34,32,0,-0.0423829633623423
"Cell335","SeuratProject",45,44,0,-0.106674781707554
"Cell336","SeuratProject",38,38,0,-0.120792137682289
"Cell337","SeuratProject",31,31,0,-0.0437860536635473
"Cell338","SeuratProject",37,36,0,-0.108529277334392
"Cell339","SeuratProject",48,48,0,-0.0267241480606816
"Cell340","SeuratProject",53,51,0,0.0369909880530175
"Cell341","SeuratProject",32,31,0,-0.0437250879906633
"Cell343","SeuratProject",40,38,0,-0.10362894103794
"Cell344","SeuratProject",41,40,0,-0.140315856156687
"Cell345","SeuratProject",43,40,0,-0.0905215712775407
"Cell346","SeuratProject",31,31,0,-0.0437860536635473
"Cell347","SeuratProject",44,43,0,-0.113107739462977
"Cell348","SeuratProject",43,40,0,-0.0905215712775407
"Cell349","SeuratProject",39,39,0,-0.106535913508881
"Cell350","SeuratProject",42,42,0,-0.0993157718875632
"Cell351","SeuratProject",46,46,0,-0.0682313220853901
"Cell352","SeuratProject",46,44,0,-0.0988379931844763
"Cell353","SeuratProject",32,32,0,-0.0454481190212956
"Cell354","SeuratProject",38,37,0,-0.126165582837422
"Cell355","SeuratProject",44,42,0,-0.1108684007134
"Cell357","SeuratProject",47,46,0,-0.0721330105042981
"Cell358","SeuratProject",38,38,0,-0.120792137682289
"Cell359","SeuratProject",44,44,0,-0.0717491333856407
"Cell360","SeuratProject",38,38,0,-0.120792137682289
"Cell361","SeuratProject",43,39,0,-0.0690526484568524
"Cell362","SeuratProject",46,46,0,-0.0682313220853901
"Cell363","SeuratProject",43,41,0,-0.120547462383493
"Cell364","SeuratProject",38,37,0,-0.126165582837422
"Cell365","SeuratProject",48,45,0,-0.0676257493823741
"Cell366","SeuratProject",36,36,0,-0.0862155507256251
"Cell367","SeuratProject",45,44,0,-0.106674781707554
"Cell368","SeuratProject",37,36,0,-0.108529277334392
"Cell369","SeuratProject",42,42,0,-0.0993157718875632
"Cell370","SeuratProject",42,40,0,-0.116251208275036
"Cell372","SeuratProject",35,34,0,-0.0935100874590804
"Cell373","SeuratProject",35,34,0,-0.0935100874590804
"Cell374","SeuratProject",52,51,0,0.0335827052682939
"Cell375","SeuratProject",44,42,0,-0.1108684007134
"Cell376","SeuratProject",37,36,0,-0.108529277334392
"Cell377","SeuratProject",41,40,0,-0.140315856156687
"Cell379","SeuratProject",46,45,0,-0.104447736368418
"Cell380","SeuratProject",33,32,0,-0.0601384707826172
"Cell381","SeuratProject",31,30,0,-0.0441057965385686
"Cell382","SeuratProject",34,33,0,-0.0674238122874688
"Cell384","SeuratProject",49,47,0,-0.0630020960796193
"Cell385","SeuratProject",38,38,0,-0.120792137682289
"Cell386","SeuratProject",41,38,0,-0.0812969822485509
"Cell387","SeuratProject",36,34,0,-0.083049093154336
"Cell389","SeuratProject",45,43,0,-0.1094791302964
"Cell390","SeuratProject",49,46,0,-0.0359836772743072
"Cell391","SeuratProject",35,35,0,-0.0750453438428789
"Cell392","SeuratProject",44,43,0,-0.113107739462977
"Cell393","SeuratProject",44,44,0,-0.0717491333856407
"Cell394","SeuratProject",42,41,0,-0.132104934029768
"Cell395","SeuratProject",46,45,0,-0.104447736368418
"Cell396","SeuratProject",38,34,0,-0.0414565435697968
"Cell397","SeuratProject",38,38,0,-0.120792137682289
"Cell398","SeuratProject",41,40,0,-0.140315856156687
"Cell399","SeuratProject",40,39,0,-0.119672188357454
"Cell400","SeuratProject",41,40,0,-0.140315856156687
"Cell401","SeuratProject",39,38,0,-0.125911316796102
"Cell402","SeuratProject",31,29,0,-0.00139861083737891
"Cell403","SeuratProject",43,42,0,-0.125543566849907
"Cell404","SeuratProject",33,32,0,-0.0601384707826172
"Cell405","SeuratProject",51,48,0,0.00212568939759405
"Cell406","SeuratProject",50,49,0,-0.0185465981334861
"Cell407","SeuratProject",45,41,0,-0.0576559680867131
"Cell408","SeuratProject",47,45,0,-0.0821044824376019
"Cell409","SeuratProject",47,47,0,-0.0403181036746018
"Cell410","SeuratProject",46,45,0,-0.104447736368418
"Cell411","SeuratProject",41,39,0,-0.11922676566074
"Cell412","SeuratProject",37,36,0,-0.108529277334392
"Cell413","SeuratProject",43,40,0,-0.0905215712775407
"Cell414","SeuratProject",40,37,0,-0.0752335669708093
"Cell415","SeuratProject",35,35,0,-0.0750453438428789
"Cell416","SeuratProject",39,36,0,-0.073145077870989
"Cell417","SeuratProject",37,35,0,-0.0848603016289688
"Cell418","SeuratProject",48,46,0,-0.0694425359921111
"Cell419","SeuratProject",41,41,0,-0.102402206597157
"Cell420","SeuratProject",48,44,0,-0.04542801048435
"Cell421","SeuratProject",41,41,0,-0.102402206597157
"Cell422","SeuratProject",40,40,0,-0.114802720065092
"Cell423","SeuratProject",44,43,0,-0.113107739462977
"Cell424","SeuratProject",46,46,0,-0.0682313220853901
"Cell425","SeuratProject",43,42,0,-0.125543566849907
"Cell426","SeuratProject",47,46,0,-0.0721330105042981
"Cell427","SeuratProject",45,43,0,-0.1094791302964
"Cell428","SeuratProject",37,36,0,-0.108529277334392
"Cell429","SeuratProject",43,41,0,-0.120547462383493
"Cell430","SeuratProject",37,35,0,-0.0848603016289688
"Cell431","SeuratProject",42,41,0,-0.132104934029768
"Cell432","SeuratProject",38,37,0,-0.126165582837422
"Cell433","SeuratProject",43,42,0,-0.125543566849907
"Cell434","SeuratProject",43,42,0,-0.125543566849907
"Cell435","SeuratProject",48,46,0,-0.0694425359921111
"Cell436","SeuratProject",43,42,0,-0.125543566849907
"Cell437","SeuratProject",45,44,0,-0.106674781707554
"Cell438","SeuratProject",39,38,0,-0.125911316796102
"Cell439","SeuratProject",29,29,0,0.0345500290821616
"Cell440","SeuratProject",38,38,0,-0.120792137682289
"Cell441","SeuratProject",48,48,0,-0.0267241480606816
"Cell442","SeuratProject",36,34,0,-0.083049093154336
"Cell443","SeuratProject",48,43,0,-0.0312733246219237
"Cell444","SeuratProject",36,36,0,-0.0862155507256251
"Cell445","SeuratProject",42,42,0,-0.0993157718875632
"Cell446","SeuratProject",33,33,0,-0.0529404493752068
"Cell447","SeuratProject",43,42,0,-0.125543566849907
"Cell448","SeuratProject",44,43,0,-0.113107739462977
"Cell449","SeuratProject",40,40,0,-0.114802720065092
"Cell450","SeuratProject",37,37,0,-0.0922958951325496
"Cell451","SeuratProject",42,40,0,-0.116251208275036
"Cell452","SeuratProject",46,46,0,-0.0682313220853901
"Cell453","SeuratProject",33,31,0,-0.0241043576332021
"Cell454","SeuratProject",42,42,0,-0.0993157718875632
"Cell455","SeuratProject",44,42,0,-0.1108684007134
"Cell457","SeuratProject",36,34,0,-0.083049093154336
"Cell458","SeuratProject",42,41,0,-0.132104934029768
"Cell459","SeuratProject",42,41,0,-0.132104934029768
"Cell460","SeuratProject",37,36,0,-0.108529277334392
"Cell461","SeuratProject",41,39,0,-0.11922676566074
"Cell462","SeuratProject",49,48,0,-0.0473076105761039
"Cell463","SeuratProject",35,35,0,-0.0750453438428789
"Cell464","SeuratProject",49,47,0,-0.0630020960796193
"Cell465","SeuratProject",42,42,0,-0.0993157718875632
"Cell466","SeuratProject",38,38,0,-0.120792137682289
"Cell467","SeuratProject",37,36,0,-0.108529277334392
"Cell468","SeuratProject",39,37,0,-0.108202743211851
"Cell469","SeuratProject",43,43,0,-0.0981113095577119
"Cell470","SeuratProject",39,37,0,-0.108202743211851
"Cell471","SeuratProject",32,32,0,-0.0454481190212956
"Cell472","SeuratProject",36,33,0,-0.042519340089826
"Cell473","SeuratProject",33,33,0,-0.0529404493752068
"Cell474","SeuratProject",41,40,0,-0.140315856156687
"Cell475","SeuratProject",45,45,0,-0.089304337797713
"Cell476","SeuratProject",42,41,0,-0.132104934029768
"Cell477","SeuratProject",34,34,0,-0.0622168716309411
"Cell478","SeuratProject",40,40,0,-0.114802720065092
"Cell479","SeuratProject",38,36,0,-0.0974043618173572
"Cell480","SeuratProject",40,39,0,-0.119672188357454
"Cell481","SeuratProject",35,35,0,-0.0750453438428789
"Cell482","SeuratProject",46,45,0,-0.104447736368418
"Cell483","SeuratProject",44,43,0,-0.113107739462977
"Cell484","SeuratProject",38,38,0,-0.120792137682289
"Cell485","SeuratProject",40,40,0,-0.114802720065092
"Cell486","SeuratProject",39,39,0,-0.106535913508881
"Cell487","SeuratProject",43,43,0,-0.0981113095577119
"Cell488","SeuratProject",31,30,0,-0.0441057965385686
"Cell489","SeuratProject",37,37,0,-0.0922958951325496
"Cell490","SeuratProject",39,38,0,-0.125911316796102
"Cell491","SeuratProject",43,43,0,-0.0981113095577119
"Cell492","SeuratProject",48,45,0,-0.0676257493823741
"Cell493","SeuratProject",37,37,0,-0.0922958951325496
"Cell494","SeuratProject",41,40,0,-0.140315856156687
"Cell495","SeuratProject",44,42,0,-0.1108684007134
"Cell496","SeuratProject",43,43,0,-0.0981113095577119
"Cell497","SeuratProject",42,39,0,-0.0904322991265811
"Cell498","SeuratProject",37,35,0,-0.0848603016289688
"Cell499","SeuratProject",37,37,0,-0.0922958951325496
"Cell500","SeuratProject",47,45,0,-0.0821044824376019
"Cell501","SeuratProject",45,45,0,-0.089304337797713
"Cell502","SeuratProject",37,37,0,-0.0922958951325496
"Cell503","SeuratProject",42,41,0,-0.132104934029768
"Cell504","SeuratProject",47,44,0,-0.0652923191498441
"Cell506","SeuratProject",50,47,0,-0.0219135541627762
"Cell507","SeuratProject",40,36,0,-0.0461600528718714
"Cell508","SeuratProject",31,29,0,-0.00139861083737891
"Cell509","SeuratProject",36,36,0,-0.0862155507256251
"Cell510","SeuratProject",46,44,0,-0.0988379931844763
"Cell511","SeuratProject",41,41,0,-0.102402206597157
"Cell512","SeuratProject",38,38,0,-0.120792137682289
"Cell513","SeuratProject",38,36,0,-0.0974043618173572
"Cell514","SeuratProject",47,45,0,-0.0821044824376019
"Cell515","SeuratProject",51,50,0,0.0050407571764014
"Cell516","SeuratProject",45,45,0,-0.089304337797713
"Cell517","SeuratProject",39,38,0,-0.125911316796102
"Cell518","SeuratProject",42,40,0,-0.116251208275036
